"state","date","reported_cases","predicted_infections_mean","predicted_infections_lower_CI_95","predicted_infections_higher_CI_95_cumulative","reported_deaths","estimated_deaths_mean","estimated_deaths_lower_CI_95","estimated_deaths_higher_CI_95","mean_time_varying_reproduction_number_R(t)","time_varying_reproduction_number_R(t)_lower_CI_95","time_varying_reproduction_number_R(t)_higher_CI_95","mean_infectious_individuals","infectious_individuals_lower_CI_95","infectious_individuals_higher_CI_95"
"MA",2020-03-18,0,5715.10024597521,3773.71671806516,8346.08281505894,0,1.44605188050811,0.690435443093546,2.72545809155682,2.75546783091366,1.9390909607711,3.64234920867033,17895.8578387978,10915.5896418187,27815.0209308311
"MA",2020-03-19,110,6242.05711503545,4047.6784517357,9205.86611027458,0,1.84201721094397,0.92338469057809,3.34074582402066,2.48608069714853,1.7018227727445,3.35568906789843,21605.8809255161,13606.9716661464,32902.5510199597
"MA",2020-03-20,85,8558.89231969943,5442.53392593854,12798.7639784177,1,2.34397074851098,1.23071697073032,4.10085954280049,2.85791782642005,2.0132092025542,3.75904500768259,25601.4486807802,16610.3539651272,38245.464778203
"MA",2020-03-21,112,9552.86334041049,5892.76695634932,14660.8450289307,0,2.97179228987165,1.63406609192948,5.03787765366384,2.70115716650467,1.89224880402779,3.5872487756833,30106.2222430427,19873.1762159145,44228.5215414914
"MA",2020-03-22,121,10195.5498380991,7153.78530290224,14338.9577057969,4,3.74851005540792,2.14249290307539,6.17557010695653,2.45706986050257,1.83455663989975,3.1563830681041,35568.5014385103,23682.4826938697,51571.197124083
"MA",2020-03-23,131,11356.5967964787,7866.26706070878,16008.2356241014,4,4.69791084747349,2.79520751555977,7.51617939298183,2.32311730177364,1.72212161655024,3.00524417023893,41865.5345177977,27820.6167472701,60556.2978504422
"MA",2020-03-24,382,10721.194594699,7249.0443911224,15420.4708629629,2,5.8436411063997,3.57269795942448,9.10785859597696,1.88310364457613,1.34906295971233,2.52595259571237,48734.0077140516,33159.0939692822,69765.2057997813
"MA",2020-03-25,679,11264.4732651268,7351.16323227471,16664.8848111243,4,7.2153305830854,4.55753809217349,10.9654423998607,1.72285361313317,1.20766903457157,2.35049751222197,55807.134037743,38616.330030418,78695.9536148758
"MA",2020-03-26,579,14374.0746051811,9196.36924880586,21478.4700873823,10,8.84058715076507,5.77592543258883,13.044756520079,1.95384628198532,1.41539992509236,2.59921438102548,62485.8670117317,43528.5099414184,87166.0814424393
"MA",2020-03-27,823,15512.2274968544,9586.37490238647,23778.2262826359,10,10.7459849867029,7.21361537479985,15.5442690579843,1.90015332348514,1.36635315619417,2.53494162304197,69063.5949570351,48326.2311654387,96634.4221151786
"MA",2020-03-28,1017,18895.0399660519,11257.7082844809,29446.5482383466,9,12.9544420153705,8.86252087988522,18.3748375952533,2.08517769654624,1.517993830268,2.73683905242288,76341.2440565106,53123.4081815824,107252.123782544
"MA",2020-03-29,698,14876.8756808299,10240.3422054255,20914.5009838574,4,15.4836680382326,10.7965268970473,21.5345951060148,1.50324309125977,1.05883288269464,2.00193359613839,84722.6251491883,58704.402892367,120387.571972327
"MA",2020-03-30,797,16490.7109113982,11285.7117239578,23321.9499446048,8,18.3512032976486,13.0233977929032,25.1970924633808,1.5039382180953,1.06630073733345,1.99791485321304,93820.9828987311,63750.7600819497,134012.306087408
"MA",2020-03-31,868,19092.3530530028,12839.8525159435,27279.1197762752,33,21.5732093452454,15.5608747109365,28.9854294131887,1.59842804101396,1.13389923009219,2.10341772382934,101984.748107376,69750.2985540579,145389.650731256
"MA",2020-04-01,1118,21120.1606086043,13927.4150330925,30615.9880849507,33,25.1601761674304,18.3810336322918,33.4683609096925,1.64040824077997,1.16696203966696,2.15579154700994,109609.026799034,75924.2299398235,155002.775229067
"MA",2020-04-02,1228,21635.0504364481,13764.2902821042,32031.785263508,32,29.1143396777571,21.5294238100529,38.4377415946965,1.56089799942705,1.10657668053831,2.0690644523527,117605.933520427,81977.3706496313,164677.588887882
"MA",2020-04-03,1436,20996.1535784877,12758.4431481532,32137.6170060645,38,33.4450646154071,25.0112079559761,43.8232875431745,1.40551329409934,0.986416820270188,1.88005206244865,126272.887128367,88603.4057743248,176538.446069478
"MA",2020-04-04,1334,28437.3985926545,16857.4942128403,44064.5214958809,24,38.1379473006858,28.9169325491057,49.6649243393082,1.77377542220698,1.28092576385368,2.31317361884728,135050.325949189,94233.4345688065,189328.951677861
"MA",2020-04-05,764,21411.3199813023,14784.0001397054,29995.3475755076,15,43.2034625307624,33.0575673380437,55.9070090162375,1.27219433694289,0.885016622925239,1.72966251057835,144309.670546453,99955.0298678541,203779.635456689
"MA",2020-04-06,1337,21779.5049263459,14834.7462018282,30618.1264618296,29,48.6291325731765,37.4457645907987,62.6138210068751,1.20895599932284,0.842482698219605,1.64848123715902,154487.277389078,106482.909585084,219641.120969196
"MA",2020-04-07,1365,21585.9648615173,14342.4390228853,30737.346179841,96,54.4030903045047,42.1963097124031,69.7633670606098,1.13419451707342,0.785858434403519,1.55285252373286,162947.698833447,112356.945006219,231137.157711196
"MA",2020-04-08,1588,20902.6709388412,13517.7274698934,30411.4235775176,77,60.5316380335858,47.0678788203264,77.5208983118881,1.05386500577715,0.725911593170291,1.45322889649702,169335.617545981,117408.055209088,237485.417674329
"MA",2020-04-09,2151,20016.9715613582,12451.9879409986,29868.4835050838,70,66.9638110114103,52.1925651912644,85.6458429542617,0.979944183201304,0.667694012395599,1.3628529835754,173776.096502111,122055.051495591,242683.966686891
"MA",2020-04-10,2033,23079.0696079324,14070.4333750968,34897.2193910588,96,73.6884638768599,57.6779663031297,93.7949034091398,1.10890877213469,0.762537559400361,1.52428878881965,176367.746808913,124964.781005957,243824.724394262
"MA",2020-04-11,1886,30443.2942316775,18281.3636969958,46728.7855902878,87,80.6972993914909,63.2235618768356,102.708879387139,1.4454704907862,1.01436562920199,1.93390465857792,177825.022226969,125825.934369743,245271.620768636
"MA",2020-04-12,2615,12226.7148148405,7428.50059146892,18893.021103091,70,87.8671495560608,69.1017972147728,111.702043309791,0.579677875360702,0.352914793724129,0.859922925137162,180586.084644688,127014.841524975,250425.003072905
"MA",2020-04-13,1392,12607.0306721344,7801.33764103605,18939.4177239396,88,95.194288082319,75.0951543464313,120.448423617442,0.586874823278455,0.371820525871852,0.855096361890388,183826.73752788,127528.957303671,255361.001357748
"MA",2020-04-14,1297,18381.1171306383,11691.968098238,27421.7481256145,0,102.539049659378,80.907303446563,129.593768628476,0.862505216709668,0.565312502708248,1.20923106116838,182023.856317382,125444.436144347,254883.538912211
"MA",2020-04-15,1754,17405.5869007996,10744.2744120852,26421.1298922447,264,109.900791329726,86.7482898850585,138.526037437355,0.838971849385111,0.552749469154205,1.17951230287797,176767.343086613,122210.138549116,247904.771858135
"MA",2020-04-16,2263,16833.8514685654,10056.3412227953,26009.9182128027,0,117.099394102669,92.8072783314225,147.382542072136,0.834540562030028,0.548576466246393,1.17309785562998,171265.779941109,119197.319083491,239193.628049952
"MA",2020-04-17,2221,16023.0462480964,9180.78760210312,25424.9222121718,137,124.105234895508,98.8996402219584,156.289186011303,0.815264783479961,0.534178466897314,1.14874194188235,166170.242058195,115730.418192279,232834.059897861
"MA",2020-04-18,1970,14641.9210845763,7996.33118927435,23991.7111855599,159,130.845814341645,104.20311489543,164.104492413462,0.763316643478198,0.498116998461899,1.08033719293925,161451.564068658,112491.959206438,227055.153080228
"MA",2020-04-19,1705,16294.1548986217,10533.6629989767,23713.8223508071,302,137.132389890131,109.596683998748,171.474636872982,0.890246104444659,0.593541289521078,1.24006862949889,156791.107751731,108919.731502063,222334.64826454
"MA",2020-04-20,0,11651.303881496,7382.47069148457,17343.9204677286,0,142.958358329242,114.793356275959,178.329548976936,0.655382603824142,0.428085923498771,0.921859575039186,152217.290934901,104257.043707228,217168.300095929
"MA",2020-04-21,3122,10485.1735731476,6441.98537919087,15874.6527959675,255,148.213662552886,119.205712568309,184.750856630588,0.606652065011246,0.392615681849671,0.859003449328884,147687.025741165,100470.172321866,211270.730962763
